minutes,xG,xA,xGI,ict_index,opponent_strength,was_home,rolling_form,rolling_xgi,position_encoded,team_strength,total_points
90,0.0,0.02,0.02,3.0,1,True,2.0,0.08,,1,6
90,0.0,0.05,0.05,2.2,1,False,3.0,0.04666666666666667,,1,6
45,0.0,0.02,0.02,0.9,1,True,3.2,0.030000000000000002,,1,1
90,0.0,0.01,0.01,2.5,1,False,4.0,0.02666666666666667,,1,6
90,0.16,0.03,0.19,2.8,1,False,4.0,0.07333333333333333,,1,1
90,0.0,0.01,0.01,1.7,1,True,3.2,0.07,,1,2
0,0.0,0.0,0.0,0.0,1,False,2.0,0.06666666666666667,,1,0
0,0.0,0.0,0.0,0.0,1,True,1.8,0.0033333333333333335,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.6,0.0,,1,0
45,0.0,0.01,0.01,0.0,1,True,0.6,0.0033333333333333335,,1,1
71,0.91,0.01,0.92,7.3,1,False,13.0,0.92,,1,13
63,0.39,0.01,0.4,8.1,1,True,13.0,0.66,,1,13
90,0.13,0.01,0.14,2.3,1,False,9.333333333333334,0.48666666666666664,,1,2
67,0.0,0.01,0.01,2.0,1,True,8.25,0.18333333333333335,,1,5
90,0.14,0.05,0.19,2.9,1,True,7.0,0.11333333333333334,,1,2
69,0.1,0.04,0.14,3.0,1,False,4.6,0.11333333333333334,,1,1
74,0.17,0.02,0.19,3.3,1,True,3.2,0.17333333333333334,,1,6
90,0.04,0.02,0.06,3.0,1,False,4.0,0.13,,1,6
81,0.07,0.02,0.09,1.0,1,True,4.2,0.11333333333333333,,1,6
71,0.06,0.01,0.07,3.6,1,False,5.0,0.07333333333333333,,1,6
90,0.23,0.05,0.28,5.4,1,False,5.0,0.1466666666666667,,1,1
90,0.07,0.03,0.1,1.8,1,True,4.2,0.15000000000000002,,1,2
45,0.0,0.01,0.01,1.6,1,False,3.0,0.13,,1,0
90,0.18,0.03,0.21,5.5,1,True,3.2,0.10666666666666667,,1,7
85,0.0,0.01,0.01,1.6,1,False,2.2,0.07666666666666667,,1,1
0,0.0,0.0,0.0,0.0,1,True,2.0,0.07333333333333333,,1,0
19,0.0,0.0,0.0,0.3,1,False,0.0,0.0,,1,0
63,0.81,0.05,0.86,19.9,1,True,12.0,0.43,,1,24
90,0.09,0.05,0.14,3.5,1,False,8.666666666666666,0.3333333333333333,,1,2
90,0.3,0.02,0.32,6.8,1,True,8.5,0.44,,1,8
79,0.0,0.05,0.05,3.9,1,True,7.0,0.17,,1,1
90,0.53,0.21,0.74,8.8,1,False,7.4,0.36999999999999994,,1,2
90,0.16,0.03,0.19,6.6,1,True,4.8,0.32666666666666666,,1,11
90,0.0,0.15,0.15,5.5,1,False,5.6,0.36000000000000004,,1,6
90,0.0,0.04,0.04,3.1,1,True,5.2,0.12666666666666668,,1,6
90,0.19,0.01,0.2,2.4,1,False,6.2,0.13,,1,6
90,0.0,0.03,0.03,2.7,1,False,6.0,0.09000000000000001,,1,1
90,0.5,0.04,0.54,5.0,1,True,4.8,0.25666666666666665,,1,5
90,0.3,0.03,0.33,1.9,1,False,4.0,0.30000000000000004,,1,2
46,0.0,0.0,0.0,0.7,1,True,3.0,0.29000000000000004,,1,1
90,0.23,0.01,0.24,3.0,1,False,2.4,0.19000000000000003,,1,3
45,0.13,0.01,0.14,0.0,1,True,2.4,0.12666666666666668,,1,1
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
18,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
26,0.0,0.0,0.0,0.8,1,True,0.5,0.0,,1,1
0,0.0,0.0,0.0,0.0,1,False,0.3333333333333333,0.0,,1,0
22,0.0,0.0,0.0,0.1,1,True,0.5,0.0,,1,1
0,0.0,0.0,0.0,0.0,1,True,0.4,0.0,,1,0
2,0.0,0.0,0.0,0.2,1,False,0.6,0.0,,1,1
15,0.0,0.0,0.0,0.6,1,True,0.6,0.0,,1,1
0,0.0,0.0,0.0,0.0,1,False,0.6,0.0,,1,0
2,0.0,0.0,0.0,0.1,1,True,0.6,0.0,,1,1
1,0.0,0.0,0.0,0.2,1,False,0.8,0.0,,1,1
0,0.0,0.0,0.0,0.0,1,False,0.6,0.0,,1,0
1,0.0,0.0,0.0,0.0,1,True,0.6,0.0,,1,1
45,0.0,0.02,0.02,0.3,1,False,0.6,0.006666666666666667,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.4,0.006666666666666667,,1,0
4,0.0,0.0,0.0,0.1,1,False,0.4,0.006666666666666667,,1,1
14,0.0,0.03,0.03,0.0,1,True,0.6,0.01,,1,1
70,0.01,0.01,0.02,2.8,1,False,6.0,0.02,,1,6
0,0.0,0.0,0.0,0.0,1,True,3.0,0.01,,1,0
0,0.0,0.0,0.0,0.0,1,False,2.0,0.006666666666666667,,1,0
0,0.0,0.0,0.0,0.0,1,True,1.5,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,1.2,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
90,0.04,0.14,0.18,8.7,1,True,2.8,0.06,,1,14
90,0.32,0.26,0.58,6.5,1,False,3.0,0.25333333333333335,,1,1
30,0.0,0.01,0.01,0.0,1,True,3.2,0.25666666666666665,,1,1
0,0.0,0.0,0.0,0.0,16,False,0.0,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,True,0.0,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,False,0.0,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,False,0.0,0.0,,16,0
90,0.04,0.07,0.11,6.3,16,False,0.4,0.03666666666666667,,16,2
90,0.0,0.1,0.1,3.4,16,True,0.8,0.07,,16,2
0,0.0,0.0,0.0,0.0,16,False,0.8,0.07,,16,0
73,0.0,0.13,0.13,3.3,16,True,1.0,0.07666666666666667,,16,1
0,0.0,0.0,0.0,0.0,16,False,1.0,0.04333333333333334,,16,0
0,0.0,0.0,0.0,0.0,16,True,0.6,0.04333333333333334,,16,0
0,0.0,0.0,0.0,0.0,16,True,0.2,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,False,0.2,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,True,0.0,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,False,0.0,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,False,0.0,0.0,,16,0
0,0.0,0.0,0.0,0.0,16,True,0.0,0.0,,16,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,True,0.0,0.0,,1,0
0,0.0,0.0,0.0,0.0,1,False,0.0,0.0,,1,0
