player_id,web_name,position,team,round,total_points,minutes,xG,xA,xGI,ict_index,was_home,opponent_team,team_strength
5,Gabriel,2,1,6,13,90,0.22,0.02,0.24,11.2,False,15,1
5,Gabriel,2,1,7,9,90,0.00,0.03,0.03,2.9,True,19,1
5,Gabriel,2,1,8,12,90,0.24,0.02,0.26,6.0,False,10,1
5,Gabriel,2,1,9,9,90,0.10,0.03,0.13,4.7,True,8,1
5,Gabriel,2,1,10,12,90,0.00,0.52,0.52,5.1,False,3,1
5,Gabriel,2,1,11,1,90,0.00,0.03,0.03,4.1,False,17,1
5,Gabriel,2,1,12,0,0,0.00,0.00,0.00,0.0,True,18,1
5,Gabriel,2,1,13,0,0,0.00,0.00,0.00,0.0,False,7,1
5,Gabriel,2,1,14,0,0,0.00,0.00,0.00,0.0,True,5,1
5,Gabriel,2,1,15,0,0,0.00,0.00,0.00,0.0,False,2,1
5,Gabriel,2,1,16,0,0,0.00,0.00,0.00,0.0,True,20,1
6,Saliba,2,1,1,9,90,0.00,0.00,0.00,3.2,False,14,1
6,Saliba,2,1,2,6,90,0.00,0.01,0.01,2.3,True,11,1
6,Saliba,2,1,3,1,4,0.00,0.00,0.00,0.3,False,12,1
6,Saliba,2,1,4,0,0,0.00,0.00,0.00,0.0,True,16,1
6,Saliba,2,1,5,2,90,0.13,0.02,0.15,2.9,True,13,1
6,Saliba,2,1,6,1,45,0.00,0.07,0.07,1.9,False,15,1
6,Saliba,2,1,7,6,90,0.00,0.02,0.02,3.0,True,19,1
6,Saliba,2,1,8,6,90,0.00,0.05,0.05,2.2,False,10,1
6,Saliba,2,1,9,1,45,0.00,0.02,0.02,0.9,True,8,1
6,Saliba,2,1,10,6,90,0.00,0.01,0.01,2.5,False,3,1
6,Saliba,2,1,11,1,90,0.16,0.03,0.19,2.8,False,17,1
6,Saliba,2,1,12,2,90,0.00,0.01,0.01,1.7,True,18,1
6,Saliba,2,1,13,0,0,0.00,0.00,0.00,0.0,False,7,1
6,Saliba,2,1,14,0,0,0.00,0.00,0.00,0.0,True,5,1
6,Saliba,2,1,15,0,0,0.00,0.00,0.00,0.0,False,2,1
6,Saliba,2,1,16,1,45,0.00,0.01,0.01,0.0,True,20,1
7,Calafiori,2,1,1,13,71,0.91,0.01,0.92,7.3,False,14,1
7,Calafiori,2,1,2,13,63,0.39,0.01,0.40,8.1,True,11,1
7,Calafiori,2,1,3,2,90,0.13,0.01,0.14,2.3,False,12,1
7,Calafiori,2,1,4,5,67,0.00,0.01,0.01,2.0,True,16,1
7,Calafiori,2,1,5,2,90,0.14,0.05,0.19,2.9,True,13,1
7,Calafiori,2,1,6,1,69,0.10,0.04,0.14,3.0,False,15,1
7,Calafiori,2,1,7,6,74,0.17,0.02,0.19,3.3,True,19,1
7,Calafiori,2,1,8,6,90,0.04,0.02,0.06,3.0,False,10,1
7,Calafiori,2,1,9,6,81,0.07,0.02,0.09,1.0,True,8,1
7,Calafiori,2,1,10,6,71,0.06,0.01,0.07,3.6,False,3,1
7,Calafiori,2,1,11,1,90,0.23,0.05,0.28,5.4,False,17,1
7,Calafiori,2,1,12,2,90,0.07,0.03,0.10,1.8,True,18,1
7,Calafiori,2,1,13,0,45,0.00,0.01,0.01,1.6,False,7,1
7,Calafiori,2,1,14,7,90,0.18,0.03,0.21,5.5,True,5,1
7,Calafiori,2,1,15,1,85,0.00,0.01,0.01,1.6,False,2,1
7,Calafiori,2,1,16,0,0,0.00,0.00,0.00,0.0,True,20,1
8,J.Timber,2,1,1,0,19,0.00,0.00,0.00,0.3,False,14,1
8,J.Timber,2,1,2,24,63,0.81,0.05,0.86,19.9,True,11,1
8,J.Timber,2,1,3,2,90,0.09,0.05,0.14,3.5,False,12,1
8,J.Timber,2,1,4,8,90,0.30,0.02,0.32,6.8,True,16,1
8,J.Timber,2,1,5,1,79,0.00,0.05,0.05,3.9,True,13,1
8,J.Timber,2,1,6,2,90,0.53,0.21,0.74,8.8,False,15,1
8,J.Timber,2,1,7,11,90,0.16,0.03,0.19,6.6,True,19,1
8,J.Timber,2,1,8,6,90,0.00,0.15,0.15,5.5,False,10,1
8,J.Timber,2,1,9,6,90,0.00,0.04,0.04,3.1,True,8,1
8,J.Timber,2,1,10,6,90,0.19,0.01,0.20,2.4,False,3,1
8,J.Timber,2,1,11,1,90,0.00,0.03,0.03,2.7,False,17,1
8,J.Timber,2,1,12,5,90,0.50,0.04,0.54,5.0,True,18,1
8,J.Timber,2,1,13,2,90,0.30,0.03,0.33,1.9,False,7,1
8,J.Timber,2,1,14,1,46,0.00,0.00,0.00,0.7,True,5,1
8,J.Timber,2,1,15,3,90,0.23,0.01,0.24,3.0,False,2,1
8,J.Timber,2,1,16,1,45,0.13,0.01,0.14,0.0,True,20,1
9,Kiwior,2,1,1,0,0,0.00,0.00,0.00,0.0,False,14,1
9,Kiwior,2,1,2,0,0,0.00,0.00,0.00,0.0,True,11,1
9,Kiwior,2,1,3,0,0,0.00,0.00,0.00,0.0,False,12,1
9,Kiwior,2,1,4,0,0,0.00,0.00,0.00,0.0,True,16,1
9,Kiwior,2,1,5,0,0,0.00,0.00,0.00,0.0,True,13,1
9,Kiwior,2,1,6,0,0,0.00,0.00,0.00,0.0,False,15,1
9,Kiwior,2,1,7,0,0,0.00,0.00,0.00,0.0,True,19,1
9,Kiwior,2,1,8,0,0,0.00,0.00,0.00,0.0,False,10,1
9,Kiwior,2,1,9,0,0,0.00,0.00,0.00,0.0,True,8,1
9,Kiwior,2,1,10,0,0,0.00,0.00,0.00,0.0,False,3,1
9,Kiwior,2,1,11,0,0,0.00,0.00,0.00,0.0,False,17,1
9,Kiwior,2,1,12,0,0,0.00,0.00,0.00,0.0,True,18,1
9,Kiwior,2,1,13,0,0,0.00,0.00,0.00,0.0,False,7,1
9,Kiwior,2,1,14,0,0,0.00,0.00,0.00,0.0,True,5,1
9,Kiwior,2,1,15,0,0,0.00,0.00,0.00,0.0,False,2,1
9,Kiwior,2,1,16,0,0,0.00,0.00,0.00,0.0,True,20,1
10,Lewis-Skelly,2,1,1,0,18,0.00,0.00,0.00,0.0,False,14,1
10,Lewis-Skelly,2,1,2,1,26,0.00,0.00,0.00,0.8,True,11,1
10,Lewis-Skelly,2,1,3,0,0,0.00,0.00,0.00,0.0,False,12,1
10,Lewis-Skelly,2,1,4,1,22,0.00,0.00,0.00,0.1,True,16,1
10,Lewis-Skelly,2,1,5,0,0,0.00,0.00,0.00,0.0,True,13,1
10,Lewis-Skelly,2,1,6,1,2,0.00,0.00,0.00,0.2,False,15,1
10,Lewis-Skelly,2,1,7,1,15,0.00,0.00,0.00,0.6,True,19,1
10,Lewis-Skelly,2,1,8,0,0,0.00,0.00,0.00,0.0,False,10,1
10,Lewis-Skelly,2,1,9,1,2,0.00,0.00,0.00,0.1,True,8,1
